saving results in /home/fabian/simulation_results/transfer/lg=20_Vd=0.2_started:2015-07-23-15-16-19
(117/1000), V={0, 0.2, -0.22973}: 10 iterations, reldev=0.23215, n_E = 7792
(118/1000), V={0, 0.2, -0.229129}: 10 iterations, reldev=0.232238, n_E = 7804
(119/1000), V={0, 0.2, -0.228529}: 10 iterations, reldev=0.232266, n_E = 7848
(120/1000), V={0, 0.2, -0.227928}: 10 iterations, reldev=0.23264, n_E = 7872
(121/1000), V={0, 0.2, -0.227327}: 10 iterations, reldev=0.232711, n_E = 7792
(122/1000), V={0, 0.2, -0.226727}: 10 iterations, reldev=0.23276, n_E = 7828
(123/1000), V={0, 0.2, -0.226126}: 10 iterations, reldev=0.232818, n_E = 7792
(124/1000), V={0, 0.2, -0.225526}: 10 iterations, reldev=0.232859, n_E = 7856
(125/1000), V={0, 0.2, -0.224925}: 10 iterations, reldev=0.232945, n_E = 7848
(126/1000), V={0, 0.2, -0.224324}: 10 iterations, reldev=0.232707, n_E = 7808
(127/1000), V={0, 0.2, -0.223724}: 10 iterations, reldev=0.232754, n_E = 7824
(128/1000), V={0, 0.2, -0.223123}: 10 iterations, reldev=0.232849, n_E = 7800
(129/1000), V={0, 0.2, -0.222523}: 10 iterations, reldev=0.232872, n_E = 7752
(130/1000), V={0, 0.2, -0.221922}: 10 iterations, reldev=0.232899, n_E = 7840
(131/1000), V={0, 0.2, -0.221321}: 10 iterations, reldev=0.232942, n_E = 7768
(132/1000), V={0, 0.2, -0.220721}: 10 iterations, reldev=0.232957, n_E = 7744
(133/1000), V={0, 0.2, -0.22012}: 10 iterations, reldev=0.232935, n_E = 7852
(134/1000), V={0, 0.2, -0.21952}: 10 iterations, reldev=0.232941, n_E = 7780
(135/1000), V={0, 0.2, -0.218919}: 10 iterations, reldev=0.232929, n_E = 7712
(136/1000), V={0, 0.2, -0.218318}: 10 iterations, reldev=0.232938, n_E = 7824
(137/1000), V={0, 0.2, -0.217718}: 10 iterations, reldev=0.232944, n_E = 7784
(138/1000), V={0, 0.2, -0.217117}: 10 iterations, reldev=0.233136, n_E = 7708
(139/1000), V={0, 0.2, -0.216517}: 10 iterations, reldev=0.23311, n_E = 7788
(140/1000), V={0, 0.2, -0.215916}: 10 iterations, reldev=0.233113, n_E = 7812
(141/1000), V={0, 0.2, -0.215315}: 10 iterations, reldev=0.233056, n_E = 7760
(142/1000), V={0, 0.2, -0.214715}: 10 iterations, reldev=0.23302, n_E = 7796
(143/1000), V={0, 0.2, -0.214114}: 10 iterations, reldev=0.232977, n_E = 7808
(144/1000), V={0, 0.2, -0.213514}: 10 iterations, reldev=0.232957, n_E = 7824
(145/1000), V={0, 0.2, -0.212913}: 10 iterations, reldev=0.232905, n_E = 7828
(146/1000), V={0, 0.2, -0.212312}: 10 iterations, reldev=0.232837, n_E = 7736
(147/1000), V={0, 0.2, -0.211712}: 10 iterations, reldev=0.23277, n_E = 7868
(148/1000), V={0, 0.2, -0.211111}: 10 iterations, reldev=0.232699, n_E = 7808
(149/1000), V={0, 0.2, -0.210511}: 10 iterations, reldev=0.23265, n_E = 7768
(150/1000), V={0, 0.2, -0.20991}: 10 iterations, reldev=0.23255, n_E = 7812
(151/1000), V={0, 0.2, -0.209309}: 10 iterations, reldev=0.232247, n_E = 7776
(152/1000), V={0, 0.2, -0.208709}: 10 iterations, reldev=0.231891, n_E = 7728
(153/1000), V={0, 0.2, -0.208108}: 10 iterations, reldev=0.232146, n_E = 7836
(154/1000), V={0, 0.2, -0.207508}: 10 iterations, reldev=0.232064, n_E = 7784
(155/1000), V={0, 0.2, -0.206907}: 10 iterations, reldev=0.231976, n_E = 7772
(156/1000), V={0, 0.2, -0.206306}: 10 iterations, reldev=0.231888, n_E = 7832
(157/1000), V={0, 0.2, -0.205706}: 10 iterations, reldev=0.23179, n_E = 7792
(158/1000), V={0, 0.2, -0.205105}: 10 iterations, reldev=0.23167, n_E = 7740
(159/1000), V={0, 0.2, -0.204505}: 10 iterations, reldev=0.231616, n_E = 7792
(160/1000), V={0, 0.2, -0.203904}: 10 iterations, reldev=0.23146, n_E = 7824
(161/1000), V={0, 0.2, -0.203303}: 10 iterations, reldev=0.231344, n_E = 7812
(162/1000), V={0, 0.2, -0.202703}: 10 iterations, reldev=0.231232, n_E = 7784
(163/1000), V={0, 0.2, -0.202102}: 10 iterations, reldev=0.231252, n_E = 7820
(164/1000), V={0, 0.2, -0.201502}: 10 iterations, reldev=0.231147, n_E = 7768
(165/1000), V={0, 0.2, -0.200901}: 10 iterations, reldev=0.231012, n_E = 7804
(166/1000), V={0, 0.2, -0.2003}: 10 iterations, reldev=0.230964, n_E = 7848
(167/1000), V={0, 0.2, -0.1997}: 10 iterations, reldev=0.230758, n_E = 7780
(168/1000), V={0, 0.2, -0.199099}: 10 iterations, reldev=0.230586, n_E = 7792
(169/1000), V={0, 0.2, -0.198498}: 10 iterations, reldev=0.230424, n_E = 7764
(170/1000), V={0, 0.2, -0.197898}: 10 iterations, reldev=0.230296, n_E = 7792
(171/1000), V={0, 0.2, -0.197297}: 10 iterations, reldev=0.230135, n_E = 7804
(172/1000), V={0, 0.2, -0.196697}: 10 iterations, reldev=0.229976, n_E = 7832
(173/1000), V={0, 0.2, -0.196096}: 10 iterations, reldev=0.229805, n_E = 7804
(174/1000), V={0, 0.2, -0.195495}: 10 iterations, reldev=0.229631, n_E = 7772
